City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
302,zemio,5.0314,25.1361,21.5,96,100,0.22,CF,1698285755
303,cardenas,23.0375,-81.2047,25.12,71,44,5.82,CU,1698285463
304,huedin,46.8667,23.05,7.23,77,100,1.99,RO,1698285756
305,zhangwan,26.7114,119.5919,21.55,91,100,1.35,CN,1698285756
306,slatina,44.4333,24.3667,16.37,91,63,2.17,RO,1698285756
307,susuman,62.7833,148.1667,-17.95,92,74,1.04,RU,1698285756
308,adrar,20.5022,-10.0711,27.34,28,97,5.16,MR,1698285757
309,runaway bay,18.4596,-77.3357,28.45,74,32,7.33,JM,1698285618
310,narasannapeta,18.4167,84.05,25.47,78,10,2.11,IN,1698285757
311,tsiombe,-25.3,45.4833,20.28,82,36,1.41,MG,1698285757
312,yol,32.1667,76.2,17.86,40,4,2.55,IN,1698285758
313,noumea,-22.2763,166.4572,27.99,81,96,4.01,NC,1698285207
314,hithadhoo,-0.6,73.0833,27.54,78,43,6.73,MV,1698285758
315,caqueza,4.4057,-73.9468,18.81,97,66,1.05,CO,1698285758
316,santa isabel,-23.3156,-46.2214,20.84,93,100,1.03,BR,1698285737
317,yulinshi,38.2906,109.7494,13.17,30,0,3.35,CN,1698285759
318,grande prairie,55.1667,-118.8027,-5.9,63,100,1.54,CA,1698285626
319,happy valley-goose bay,53.3168,-60.3315,4.17,75,100,2.06,CA,1698285608
320,axim,4.8699,-2.2405,25.03,88,73,0.91,GH,1698285760
321,rio gallegos,-51.6226,-69.2181,5.03,70,40,7.2,AR,1698285760
322,egilsstadir,65.2653,-14.3948,0.95,93,100,0.51,IS,1698285760
323,sogod,10.3847,124.9814,28.93,67,100,0.4,PH,1698285761
324,usogorsk,63.4106,48.6872,-1.3,64,100,2.76,RU,1698285761
325,pa daet,19.5049,99.9924,26.67,86,63,0.52,TH,1698285761
326,yuzhno-kurilsk,44.0306,145.8556,12.99,87,19,3.73,RU,1698285761
327,zabol,32.25,67.25,10.06,29,2,1.83,AF,1698285762
328,zuunmod,47.7069,106.9528,-2.43,26,16,1.2,MN,1698285762
329,ostersund,63.1792,14.6357,-0.75,80,100,4.12,SE,1698285762
330,guasdualito,7.2424,-70.7324,24.98,100,20,0.0,VE,1698285762
331,mangai,-4.05,19.5333,21.35,98,99,0.7,CD,1698285763
332,chibougamau,49.9168,-74.3659,5.79,100,100,2.57,CA,1698285763
333,gogrial,8.5332,28.1004,24.72,77,99,1.14,SS,1698285763
334,haiku-pauwela,20.9219,-156.3051,26.81,70,27,2.85,US,1698285764
335,tarhuna,32.435,13.6332,19.82,95,3,3.83,LY,1698285764
336,labrador city,52.9463,-66.9114,2.95,100,100,1.54,CA,1698285764
337,zouerate,22.7187,-12.4521,24.27,33,0,3.76,MR,1698285765
338,aiud,46.3,23.7167,12.56,76,100,0.12,RO,1698285765
339,huarmey,-10.0681,-78.1522,19.49,88,87,3.27,PE,1698285765
340,mawlaik,23.6333,94.4167,24.26,84,64,0.12,MM,1698285765
341,ts'khinvali,42.2276,43.9686,12.35,70,100,1.29,GE,1698285766
342,nemuro,43.3236,145.575,13.53,81,7,3.83,JP,1698285766
343,amos,48.5669,-78.1162,6.08,95,100,0.64,CA,1698285766
344,gebeit,21.0667,36.3167,23.58,49,0,2.77,SD,1698285766
345,salalah,17.0151,54.0924,25.9,79,18,1.39,OM,1698285767
346,yeosu,34.7546,127.6599,19.9,61,100,3.14,KR,1698285767
347,kingaroy,-26.5333,151.8333,31.79,16,6,4.95,AU,1698285515
348,imbituba,-28.24,-48.6703,16.52,85,64,1.75,BR,1698285677
349,psachna,38.5833,23.6333,24.31,68,100,2.61,GR,1698285767
350,valchedram,43.6964,23.4447,16.56,83,88,2.02,BG,1698285768
351,priozersk,61.0393,30.1291,-0.51,85,33,2.82,RU,1698285768
352,kingston,17.997,-76.7936,25.53,91,40,2.57,JM,1698285582
353,manacapuru,-3.2997,-60.6206,27.84,65,7,1.78,BR,1698285768
354,bikenibeu village,1.3673,173.1241,30.98,70,75,2.57,KI,1698285769
355,itoman,26.1247,127.6694,26.01,61,75,4.63,JP,1698285769
356,port isabel,26.0734,-97.2086,28.37,82,46,1.79,US,1698285769
357,ribeira brava,32.65,-17.0667,22.62,79,60,1.54,PT,1698285769
358,vila velha,-20.3297,-40.2925,22.97,94,75,2.06,BR,1698285496
